Culture,day,after,before,survival_percent,antibiotic
8,6,104999999.99999999,1100000000.0,9.545454545454543,Levofloxacin
8,7,40000000.0,500000000.0,8.0,Levofloxacin
8,8,89999999.99999999,600000000.0,14.999999999999996,Levofloxacin
8,9,179999999.99999997,950000000.0,18.947368421052627,Levofloxacin
8,10,54999999.99999999,500000000.0,10.999999999999998,Levofloxacin
8,11,70000000.0,500000000.0,14.0,Levofloxacin
8,12,10499999.999999998,150000000.0,6.999999999999998,Levofloxacin
8,13,229999999.99999997,700000000.0,32.857142857142854,Levofloxacin
8,14,145000000.0,285000000.0,50.87719298245614,Levofloxacin
8,15,350000000.0,450000000.0,77.77777777777777,Levofloxacin
8,16,750000000.0,900000000.0,83.33333333333333,Levofloxacin
9,1,45000.0,200000000.0,0.0225,Levofloxacin
9,2,60000.0,204999999.99999997,0.029268292682926834,Levofloxacin
9,3,8000.0,400000000.0,0.002,Levofloxacin
9,4,949999.9999999999,700000000.0,0.1357142857142857,Levofloxacin
9,5,11499999.999999998,145000000.0,7.931034482758619,Levofloxacin
9,6,80000000.0,550000000.0,14.545454545454545,Levofloxacin
9,7,44999999.99999999,369999999.99999994,12.162162162162161,Levofloxacin
9,8,85000000.0,250000000.0,34.0,Levofloxacin
9,9,54999999.99999999,400000000.0,13.749999999999998,Levofloxacin
9,10,80000000.0,250000000.0,32.0,Levofloxacin
9,11,80000000.0,250000000.0,32.0,Levofloxacin
9,12,94999999.99999999,165000000.0,57.575757575757564,Levofloxacin
9,13,204999999.99999997,400000000.0,51.24999999999999,Levofloxacin
9,14,174999999.99999997,254999999.99999997,68.62745098039215,Levofloxacin
9,15,500000000.0,300000000.0,166.66666666666666,Levofloxacin
9,16,290000000.0,500000000.0,58.0,Levofloxacin
10,1,110000.0,400000000.0,0.0275,Levofloxacin
10,2,10500.0,155000000.0,0.0067741935483870966,Levofloxacin
10,3,12500.0,2000000000.0,0.000625,Levofloxacin
10,4,1499999.9999999998,200000000.0,0.7499999999999999,Levofloxacin
10,5,22499999.999999996,170000000.0,13.235294117647056,Levofloxacin
10,6,70000000.0,750000000.0,9.333333333333334,Levofloxacin
10,7,129999999.99999999,550000000.0,23.636363636363633,Levofloxacin
10,8,179999999.99999997,350000000.0,51.428571428571416,Levofloxacin
10,9,600000000.0,800000000.0,75.0,Levofloxacin
10,10,155000000.0,750000000.0,20.666666666666668,Levofloxacin
10,11,64999999.99999999,350000000.0,18.57142857142857,Levofloxacin
