Panel,Antibiotic,Group,value,cultures,values,n,geomean,lo,hi,min,max
Figure 3b-d,Amikacin,PL,MIC,"1,2,3,4,5,6,7,8,9,10",10.092173794926465;19.77662666052216;18.95852064190424;28.401149196712165;18.318917014092648;4.107280875149;73.9565535850617;17.421044132749657;20.254625405415148;21.83284016720712,10,18.464675468349583,10.96263927966318,31.100561776574864,4.107280875149,73.95655358506168
Figure 3b-d,Amikacin,PLA,IC50,"1,2,3,4,5,6,7,8,9,10",26.584179540889558;40.68463826747479;21.52054845461876;26.127471524019946;14.763703207178299;26.069298465805357;24.558887114075393;27.358774149524606;36.98611471016531;17.62645316723607,10,25.181628059639174,20.270003928404172,31.283387707953434,14.763703207178295,40.684638267474796
Figure 3b-d,Amikacin,PLA,MIC,"1,2,3,4,5,6,7,8,9,10",240.92760826938675;157.27039462210212;266.19812519341417;109.43619170631263;242.62172023514793;131.76532900373564;118.70927571915459;161.82138389526827;67.6895453246062;240.7486558292576,10,160.07504671310184,116.47127182204935,220.00292586614324,67.6895453246062,266.19812519341406
Figure 3b-d,Amikacin,PLAC,IC50,"1,2,3,4,5,6,8,9,7,10",12.646312135977537;23.022909063797;14.43178002255759;3.3473129274020708;9.843639690514392;9.063627356348661;9.221588293885441;5.1509595065546;3.7478501639071857;3.728669154398851,10,7.799428830329953,4.882600448899185,12.458748307594334,3.3473129274020708,23.022909063796998
Figure 3b-d,Amikacin,PLAC,MIC,"1,2,3,4,5,6,8,9,7,10",50.91356490945695;75.65292292381294;273.96796409669076;39.29282333038525;13.14155267035526;104.53703752496112;374.88337522309723;37.22479658317117;63.00019886492675;29.17540598900317,10,65.53414607616617,31.782495221702195,135.1286068628022,13.141552670355258,374.88337522309706
Figure 3b-d,Cefepime,P,IC50,"1,2,3,4,5,6,7,8,9,10",0.038326503495386084;0.03769818783462549;0.02806047660761293;0.03381407040760437;0.04303544639928328;0.035611559644781514;0.04003177222717989;0.046615563090480185;0.049389032340961606;0.034044348881338386,10,0.03818599205397341,0.03389063452640419,0.043025750609952756,0.028060476607612923,0.04938903234096161
Figure 3b-d,Cefepime,P,MIC,"1,2,3,4,5,6,7,8,9,10",0.16894828525728908;0.31442615598493306;0.15922005026167838;0.3402523743994889;0.22556117264683728;0.09660866489543081;0.06297940786573564;0.22462497949520535;0.13461773366213906;0.05586367778214366,10,0.1522032837085734,0.0974424497189059,0.23773868204770532,0.055863677782143656,0.3402523743994889
Figure 3b-d,Cefepime,PL,IC50,"1,2,3,4,5,6,7,8,9,10",0.08635547041448322;0.12223689313336417;0.1254602900486695;0.05922847635829483;0.06892190597450333;0.07560772170520756;0.05169029720517194;0.0817858426185684;0.07254308737232475;0.07953810267906146,10,0.07940924848136299,0.06500902754625273,0.09699927813699978,0.05169029720517193,0.1254602900486695
Figure 3b-d,Cefepime,PL,MIC,"1,2,3,4,5,6,7,8,9,10",0.4061740970830712;0.5783248688496058;1.2107969802273821;0.8386347936733005;0.5391920842033283;0.42867386133566904;0.22217215902377443;0.7395184304575645;0.5363703448048661;0.5624118709033322,10,0.5541861505315706,0.4000708137534745,0.7676698196491056,0.22217215902377446,1.2107969802273821
Figure 3b-d,Cefepime,PLA,IC50,"1,2,3,4,5,6,7,8,9,10",0.06047091130357158;0.11796751564992741;0.03210097372648402;0.03509908110057063;0.04328375515455462;0.03698994891729903;0.06439095975687761;0.028122506600445636;0.043907547283533986;0.056894381002801746,10,0.04747903728341877,0.03508950997457231,0.06424310236859457,0.028122506600445636,0.11796751564992741
