Name,Time,n_records,n_observed,n_zero,n_missing,median,median_lower,median_upper,mad_scaled,mad_scaled_min,mad_scaled_max,median_workbook,mad_scaled_workbook,note
P1,0,6,6,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC10,1,3,3,0,0,0.08541666666666667,0.08541666666666667,0.08541666666666667,0.011947069763901282,0.011947069763901282,0.011947069763901282,0.08541666666666667,0.011947069763901282,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC10,2,3,3,0,0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.008508644807461392,0.008508644807461392,0.008508644807461392,0.020833333333333332,0.008508644807461392,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC10,3,3,3,0,0,0.04583333333333333,0.04583333333333333,0.04583333333333333,0.00617750924377333,0.00617750924377333,0.00617750924377333,0.04583333333333333,0.00617750924377333,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC10,5,3,3,0,0,0.017083333333333332,0.017083333333333332,0.017083333333333332,0.004324256470641336,0.004324256470641336,0.004324256470641336,0.017083333333333332,0.004324256470641336,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC10,7,3,3,0,0,0.009056603773584906,0.009056603773584906,0.009056603773584906,0.0001456959727305033,0.0001456959727305033,0.0001456959727305033,0.009056603773584906,0.0001456959727305033,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC2,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC2,1,3,3,0,0,0.11153846153846153,0.11153846153846153,0.11153846153846153,0.0,0.0,0.0,0.11153846153846153,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC2,2,3,3,0,0,0.05384615384615384,0.05384615384615384,0.05384615384615384,0.011404632450043093,0.011404632450043093,0.011404632450043093,0.05384615384615384,0.011404632450043093,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC2,3,3,3,0,0,0.011153846153846153,0.011153846153846153,0.011153846153846153,0.0011404632450043057,0.0011404632450043057,0.0011404632450043057,0.011153846153846153,0.0011404632450043057,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC2,5,3,3,0,0,0.0002076923076923077,0.0002076923076923077,0.0002076923076923077,1.1404632450043106e-05,1.1404632450043106e-05,1.1404632450043106e-05,0.0002076923076923077,1.1404632450043106e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC2,7,3,3,0,0,1.6923076923076924e-05,1.6923076923076924e-05,1.6923076923076924e-05,5.702316225021553e-07,5.702316225021553e-07,5.702316225021553e-07,1.6923076923076924e-05,5.702316225021553e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC3,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
