Panel,value,Antibiotic,Strain,replicates,values,n_technical,geomean,min,max,ratio_vs_MG,ratio_min,ratio_max
Figure 5b-d / Supplementary Figure 10a-c,MIC,Amikacin,glvC,"three technical dose-response series, one overnight culture",30.54295381004582;57.27996807361242;71.03796304256086,3,49.90393221488789,30.542953810045816,71.03796304256085,0.8852343849320596,0.5417944384346137,1.2601261008856355
Figure 5b-d / Supplementary Figure 10a-c,MIC,Amikacin,hipA,"three technical dose-response series, one overnight culture",37.041018243137366;39.77204815200725;45.27875376766875,3,40.55568857208014,37.04101824313736,45.27875376766875,0.7194080393105988,0.6570621100663212,0.8031894073881142
Figure 5b-d / Supplementary Figure 10a-c,MIC,Amikacin,selB,"three technical dose-response series, one overnight culture",44.80611851468662;46.84594359336627;31.366040114463978,3,40.37907221474988,31.36604011446397,46.84594359336627,0.7162750823368486,0.5563949772318397,0.8309894275438253
Figure 5b-d / Supplementary Figure 10a-c,MIC,Amikacin,rpoZ,"three technical dose-response series, one overnight culture",46.84133929791176;40.28429853980909;51.02936804553356,3,45.83477459585048,40.2842985398091,51.029368045533566,0.8130525330777973,0.7145939138974019,0.905198232490848
Figure 5b-d / Supplementary Figure 10a-c,MIC,Amikacin,ftsH,"three technical dose-response series, one overnight culture",36.57323601248884;44.20545291063306;12.35629494592928,3,27.13370921696425,12.356294945929278,44.205452910633056,0.4813186320904565,0.21918547639489644,0.7841503701448407
Figure 5b-d / Supplementary Figure 10a-c,MIC,Amikacin,fimE,"three technical dose-response series, one overnight culture",110.60363971628729;66.95497997073073;60.60637136048023,3,76.56380855285009,60.60637136048024,110.60363971628726,1.3581478044753807,1.0750824933641805,1.9619725466500422
Figure 5b-d / Supplementary Figure 10a-c,MIC,Cefepime,MG,"three technical dose-response series, one overnight culture",0.0775206965648303;0.30852781596135115;0.06979208425823041,3,0.11862404246811149,0.0697920842582304,0.30852781596135115,1.0,0.5883468713940675,2.6008877251362392
Figure 5b-d / Supplementary Figure 10a-c,MIC,Cefepime,gatA,"three technical dose-response series, one overnight culture",0.07858822999809605;0.1647040329200894;0.06803611672489826,3,0.09585183235018076,0.06803611672489826,0.16470403292008937,0.8080303988624198,0.5735440751244649,1.3884540561359229
Figure 5b-d / Supplementary Figure 10a-c,MIC,Cefepime,glvC,"three technical dose-response series, one overnight culture",0.07197871434782592;0.12093963555406914;0.10496494363931909,3,0.09703736743908661,0.0719787143478259,0.12093963555406914,0.8180244528858658,0.6067801505514805,1.0195204364796464
Figure 5b-d / Supplementary Figure 10a-c,MIC,Cefepime,hipA,"three technical dose-response series, one overnight culture",0.06680936323319507;0.07466590134099471;0.06542672007272318,3,0.06885015641409822,0.06542672007272317,0.07466590134099471,0.580406425051705,0.5515468762608657,0.6294331215450392
Figure 5b-d / Supplementary Figure 10a-c,MIC,Cefepime,selB,"three technical dose-response series, one overnight culture",0.16747676877216594;0.2245651918696605;0.26190567987407226,3,0.21436175806709729,0.1674767687721659,0.26190567987407226,1.8070683953020907,1.4118282035211118,2.20786338439341
Figure 5b-d / Supplementary Figure 10a-c,MIC,Cefepime,rpoZ,"three technical dose-response series, one overnight culture",0.05187939636838578;0.06324128286371794;0.06902834746423533,3,0.06095476865579883,0.05187939636838577,0.06902834746423535,0.5138483513760264,0.4373430148642252,0.5819085745858943
Figure 5b-d / Supplementary Figure 10a-c,MIC,Cefepime,ftsH,"three technical dose-response series, one overnight culture",0.19017803803000846;0.1491208236261349;0.14341273551836364,3,0.1596229963011262,0.14341273551836364,0.1901780380300085,1.3456209464791764,1.2089685407316637,1.6031997736136174
Figure 5b-d / Supplementary Figure 10a-c,MIC,Cefepime,fimE,"three technical dose-response series, one overnight culture",0.05622691788301582;0.04854977832068597;0.05209825224419368,3,0.052197723332778334,0.048549778320685986,0.056226917883015835,0.4400265093546287,0.40927435375284177,0.47399259638391394
