Name,Time,n_records,n_observed,n_missing,median,mad_scaled,median_workbook,mad_scaled_workbook,note
PLAC8,1,3,3,0,0.05675675675675675,0.01324063085856941,0.05675675675675675,0.01324063085856941,Observed-only summary is conditional where counts are missing
PLAC8,2,3,3,0,0.0075000000000000015,0.0007012307790229203,0.0075000000000000015,0.0007012307790229203,Observed-only summary is conditional where counts are missing
PLAC8,3,3,3,0,0.002027027027027027,0.0001689922622738463,0.002027027027027027,0.0001689922622738463,Observed-only summary is conditional where counts are missing
PLAC8,5,3,3,0,0.0006756756756756758,0.00012630864963766872,0.0006756756756756758,0.00012630864963766872,Observed-only summary is conditional where counts are missing
PLAC8,7,3,3,0,0.00011351351351351353,2.3258213416039693e-05,0.00011351351351351353,2.3258213416039693e-05,Observed-only summary is conditional where counts are missing
PLAC9,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
PLAC9,1,3,3,0,0.0026363636363636368,0.0005803878814558107,0.0026363636363636368,0.0005803878814558107,Observed-only summary is conditional where counts are missing
PLAC9,2,3,3,0,0.0011219512195121953,2.1367881197974355e-05,0.0011219512195121953,2.1367881197974355e-05,Observed-only summary is conditional where counts are missing
PLAC9,3,3,3,0,0.0027045454545454547,7.643126736198521e-05,0.0027045454545454547,7.643126736198521e-05,Observed-only summary is conditional where counts are missing
PLAC9,5,3,3,0,0.00010454545454545456,1.8573619810546894e-05,0.00010454545454545456,1.8573619810546894e-05,Observed-only summary is conditional where counts are missing
PLAC9,7,3,3,0,2.931818181818182e-05,4.265357823749487e-06,2.931818181818182e-05,4.265357823749487e-06,Observed-only summary is conditional where counts are missing
