"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00479677473051961,-0.382595360341279,0.01,0.015,1,"6","ruvA-1"
0.00482496877767539,-0.34056521109895,0.017,0.023,1,"6","oppD-3"
0.00495508519767247,-0.101281968612194,0.096,0.111,1,"6","rplQ-4"
0.00497024464239222,-0.323140510228078,0.01,0.015,1,"6","slyB-2"
0.00498122657140356,-0.2283229426816,0.008,0.013,1,"6","dacC-2"
0.00500292239274748,-0.285374832019971,0.008,0.012,1,"6","yjjU-5"
0.00501347899706414,-0.373682426302047,0.011,0.016,1,"6","prfC-2"
0.00513207450255097,-0.113018990972212,0.024,0.031,1,"6","tgt-5"
0.00520193698980263,-0.242925353850556,0.009,0.014,1,"6","nuoF-1"
0.00535330671318834,-0.396100181241529,0.009,0.014,1,"6","sulA-5"
0.00537382033164267,-0.536664108397229,0.008,0.013,1,"6","trmI-4"
0.00540004408783497,-0.282101726599901,0.013,0.018,1,"6","tpiA-3"
0.00543540735482912,-0.13000985910338,0.008,0.013,1,"6","arsC-4"
0.00546724399759194,-0.171795347584073,0.012,0.018,1,"6","gpp-1"
0.00551706600989394,-0.253064874948061,0.011,0.016,1,"6","gntU-4"
0.00564688068188303,-0.140542132385631,0.012,0.018,1,"6","bcsE-5"
0.0056520771805696,-0.355302115343033,0.011,0.016,1,"6","accB-2"
0.0060290219295329,-0.120410052678881,0.018,0.025,1,"6","rpsT-2"
0.00614738942580565,-0.23032840176416,0.013,0.019,1,"6","ycdO-4"
0.00616678841113964,-0.15301643673914,0.027,0.034,1,"6","ttk-3"
0.0063288261628247,-0.582709210516515,0.007,0.012,1,"6","yccF-3"
0.00640537970650805,-0.347046613823035,0.011,0.016,1,"6","atpE-4"
0.00651916084176301,-0.349735620706526,0.007,0.011,1,"6","pstS-5"
0.00675926548999491,-0.342295891730683,0.007,0.012,1,"6","asd-1"
0.00679291234436512,-0.218921722640011,0.021,0.027,1,"6","fdx-2"
0.00693217607725769,-0.161855401821929,0.018,0.024,1,"6","asmA-3"
0.00701079775956336,-0.135252092322634,0.022,0.029,1,"6","folE-2"
0.00710306943993716,-0.36364715503167,0.01,0.015,1,"6","ycgZ-3"
0.00710848978665463,-0.233513489046426,0.008,0.012,1,"6","yfiB-1"
0.00713104694293304,0.788948695923494,0.016,0.012,1,"6","otsA-4"
0.00713491602590574,-0.407206447432058,0.007,0.011,1,"6","yfiC-4"
0.00722729748357605,-0.336558142078988,0.008,0.013,1,"6","nudE-4"
0.00726087731912462,-0.198722701581649,0.029,0.036,1,"6","lpxA-1"
0.00742909920652418,-0.455961485903263,0.007,0.011,1,"6","minC-2"
0.00758679419587497,-0.193529550265693,0.018,0.025,1,"6","dcrB-5"
0.00767260280211475,-0.157956200249494,0.015,0.021,1,"6","recA-5"
0.00785521693479567,-0.126687152525365,0.029,0.037,1,"6","gapC-4"
0.00787272909929348,-0.188761117171338,0.068,0.08,1,"6","rplD-2"
0.00804234307461431,-0.249155418787846,0.016,0.022,1,"6","ydfH-5"
