"Feature","Gene","Probe","Summed_Counts"
"alaS-2","alaS","2",3307
"alaw-1","alaw","1",0
"aldA-4","aldA","4",288
"aldB-2","aldB","2",21
"alkA-1","alkA","1",0
"alkB-2","alkB","2",433
"allA-2","allA","2",8
"allB-1","allB","1",11
"allC-1","allC","1",39
"allD-5","allD","5",25
"allR-1","allR","1",799
"alpA-4","alpA","4",4
"alr-5","alr","5",1033
"alsA-1","alsA","1",31
"alsB-5","alsB","5",65
"alsC-3","alsC","3",7
"alsE-3","alsE","3",6
"alsK-2","alsK","2",33
"alx-1","alx","1",344
"amiA-4","amiA","4",2335
"amiB-3","amiB","3",1207
"amiC-3","amiC","3",174
"amn-3","amn","3",518
"ampC-4","ampC","4",100
"ampD-2","ampD","2",102
"ampE-2","ampE","2",43
"ampG-4","ampG","4",340
"ampH-1","ampH","1",184
"amtB-4","amtB","4",16
"amyA-3","amyA","3",330
"anmK-3","anmK","3",380
"ansA-1","ansA","1",714
"ansB-5","ansB","5",428
"ansP-5","ansP","5",2
"apaG-5","apaG","5",878
"apaH-5","apaH","5",332
"aphA-2","aphA","2",220
"appA-5","appA","5",171
"appB-3","appB","3",42
"appC-3","appC","3",50
"appY-3","appY","3",2
"apt-1","apt","1",0
"aqpZ-3","aqpZ","3",94
"araA-1","araA","1",0
"araB-1","araB","1",0
"araD-1","araD","1",0
"araE-1","araE","1",0
"araF-4","araF","4",378
"araG-2","araG","2",169
"araH-3","araH","3",15
"araJ-5","araJ","5",87
"arcA-2","arcA","2",3366
"arcB-2","arcB","2",651
"argA-3","argA","3",88
"argB-1","argB","1",0
"argC-2","argC","2",50
"argD-4","argD","4",118
"argE-3","argE","3",148
"argF-3","argF","3",449
"argG-2","argG","2",286
"argH-1","argH","1",0
"argI-5","argI","5",1
"argK-2","argK","2",1
"argO-5","argO","5",2
"argP-5","argP","5",3
"argR-1","argR","1",615
"argS-1","argS","1",1757
"argT-5","argT","5",503
"arnA-2","arnA","2",321
"arnB-5","arnB","5",216
"arnC-3","arnC","3",138
"arnT-5","arnT","5",131
"aroA-3","aroA","3",643
"aroB-2","aroB","2",1688
"aroC-1","aroC","1",0
"aroD-2","aroD","2",88
"aroE-3","aroE","3",897
"aroF-1","aroF","1",3219
"aroG-1","aroG","1",617
"aroH-4","aroH","4",144
"aroK-1","aroK","1",2606
"aroL-5","aroL","5",16
"aroM-4","aroM","4",2056
"aroP-2","aroP","2",373
"arpA-5","arpA","5",56
"arpB-10","arpB","10",35
"arsB-2","arsB","2",583
"arsC-4","arsC","4",632
"arsR-2","arsR","2",42
"artI-3","artI","3",350
"artJ-2","artJ","2",81
"artM-5","artM","5",468
"artP-2","artP","2",13
"artQ-5","artQ","5",395
"ascB-1","ascB","1",177
"ascF-2","ascF","2",27
"ascG-1","ascG","1",166
"asd-1","asd","1",558
"aslA-2","aslA","2",48
"aslB-4","aslB","4",246
"asmA-3","asmA","3",1198
"asnA-5","asnA","5",204
"asnB-5","asnB","5",755
"asnC-5","asnC","5",58
"asnS-4","asnS","4",3391
"aspA-4","aspA","4",241
"aspC-1","aspC","1",1661
"aspS-5","aspS","5",2677
"aspv-1","aspv","1",0
"asr-4","asr","4",4
"astA-2","astA","2",87
"astB-2","astB","2",105
"astC-1","astC","1",121
"astD-3","astD","3",126
"astE-1","astE","1",38
"atoA-1","atoA","1",0
"atoB-2","atoB","2",20
"atoC-5","atoC","5",102
"atoD-2","atoD","2",3
"atoE-2","atoE","2",30
"atoS-4","atoS","4",69
"atpA-3","atpA","3",1039
"atpB-5","atpB","5",96
"atpC-3","atpC","3",17
"atpD-2","atpD","2",361
"atpE-4","atpE","4",784
"atpF-1","atpF","1",0
"atpG-4","atpG","4",2
"atpH-5","atpH","5",782
"atpI-5","atpI","5",32
"avtA-2","avtA","2",1312
"azoR-3","azoR","3",2892
"bacA-1","bacA","1",128
"baeR-1","baeR","1",0
"baeS-2","baeS","2",58
"barA-1","barA","1",239
"basR-1","basR","1",140
"basS-5","basS","5",131
"bax-4","bax","4",4009
"bcp-2","bcp","2",540
"bcr-3","bcr","3",196
"bcsA-2","bcsA","2",23
"bcsB-2","bcsB","2",90
"bcsC-1","bcsC","1",4
"bcsE-5","bcsE","5",863
"bcsF-2","bcsF","2",110
"bcsG-1","bcsG","1",334
"bcsZ-1","bcsZ","1",0
"bdm-5","bdm","5",90
"betA-5","betA","5",790
"betB-1","betB","1",6
"betI-5","betI","5",17
"betT-1","betT","1",1753
"bfd-2","bfd","2",537
"bfr-3","bfr","3",1764
"bglA-3","bglA","3",583
"bglB-1","bglB","1",24
"bglF-4","bglF","4",25
"bglG-2","bglG","2",16
"bglH-5","bglH","5",25
"bglJ-5","bglJ","5",47
"bglX-5","bglX","5",306
"bioA-1","bioA","1",144
"bioB-2","bioB","2",1
"bioC-4","bioC","4",2
"bioD-4","bioD","4",54
