Panel,value,Antibiotic,Group1,Group2,geomean1,geomean2,ratio,lo,hi,p,n1,n2,test,q_bh,p_holm_figure,k_bh,pooled_sd_log10,df_pooled,sig_bh,sig_holm
Figure 3b-d,MIC,Levofloxacin,P,PLAC,0.1038117356856237,2.5014355555461902,24.09588414089679,11.310211206768997,51.335171546932195,9.173257824701464e-07,10,10,unpaired Welch,1.8346515649402928e-06,1.4677212519522342e-05,6.0,,,True,True
Figure 3b-d,MIC,Levofloxacin,PL,PLA,9.08071560918727,0.9313668061039089,0.10256535345756375,0.05119215065254284,0.20549345155031987,4.046612142623693e-05,10,10,paired,6.06991821393554e-05,0.0005641366831006965,6.0,,,True,True
Figure 3b-d,MIC,Levofloxacin,PL,PLAC,9.08071560918727,2.5014355555461902,0.2754667873328619,0.10093359082317523,0.7518007662724016,0.017454414682313228,10,10,paired,0.017454414682313228,0.09044508462654265,6.0,,,True,False
Figure 3b-d,MIC,Levofloxacin,PLA,PLAC,0.9313668061039089,2.5014355555461902,2.68576842029639,1.375048399091804,5.245889535397926,0.008683251237313967,10,10,paired,0.01041990148477676,0.07277588591270776,6.0,,,True,False
Supplementary Figure 3b-d,IC50,Amikacin,P,PCr,2.988148518197365,4.985654106677105,1.6684760065690305,0.8165637368833216,3.4091792945910813,0.12925367132755952,10,6,unpaired Welch,0.12925367132755952,0.12925367132755952,1.0,,,False,False
Supplementary Figure 3b-d,IC50,Cefepime,P,PCr,0.03818599205397341,3.9108798343142697,102.41660944114,12.81423572328127,818.5554032194053,0.002237871996334808,10,6,unpaired Welch,0.002237871996334808,0.0067136159890044235,1.0,,,True,True
Supplementary Figure 3b-d,IC50,Levofloxacin,P,PCr,0.03575255946166259,0.12871179274453223,3.600072125816605,1.8563341113205274,6.98178158341445,0.003401827611030918,10,6,unpaired Welch,0.003401827611030918,0.006803655222061836,1.0,,,True,True
Supplementary Figure 3b-d,MIC,Amikacin,P,PCr,42.39528381723561,32.00509748644479,0.7549211752990616,0.3716233449787678,1.5335580732891718,0.38700143243376983,10,6,unpaired Welch,0.38700143243376983,0.38700143243376983,1.0,,,False,False
Supplementary Figure 3b-d,MIC,Cefepime,P,PCr,0.1522032837085734,81.24221596731563,533.7743968971895,193.30376163175734,1473.9242753367635,8.59735394437677e-07,10,6,unpaired Welch,8.59735394437677e-07,2.579206183313031e-06,1.0,,,True,True
Supplementary Figure 3b-d,MIC,Levofloxacin,P,PCr,0.1038117356856237,0.45142743610503444,4.34852026241143,2.754199353359304,6.865744285916941,1.8579239994972828e-05,10,6,unpaired Welch,1.8579239994972828e-05,3.7158479989945657e-05,1.0,,,True,True
