(Gene-Ontology-Terms Pathways All-Genes)	p-values	Matches
RNA metabolic process	0.0056215795	hfq // hrpA // mlc // mnmE // rna // dnaC // hchA // truC // ihfA // leuS // lrhA // gltX // rppH // queG // yeaK // tusE // gcvR // gyrB // ileS // alaS // rlmM // fhlA // miaA // dcuR // trhO // mnmC // rlmJ // srsR // rnm // cmoA // aaeR // dhaR // yebK // rraB // rsmD // rhlB // gyrA // metG // bolA // trmA // rlmE // gcvA // glyS // tusC // yeeY // valS // lysS // rbn // tsaB // tyrS // rsmG // yjtD // rfaH // rlmD // rnb // rsmF // ulaR // galR // ybeF // pcnB // pheT // rsmC // cmoM // rsmB // glnS // csrA // rlhA // trpS // gadW // yfhL // mnmA // rluE // cysB // rlmA // cysS // zntR // truA // rpoN // epmA // proS
purine ribonucleoside diphosphate metabolic process	0.005863758	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
catalytic activity, acting on RNA	0.005863758	hrpA // rna // truC // leuS // gltX // rppH // yeaK // ileS // alaS // rlmM // miaA // mnmC // rlmJ // rnm // rsmD // rhlB // metG // trmA // rlmE // ydiZ // glyS // valS // lysS // rbn // tyrS // rsmG // yjtD // yfdG // rlmD // rnb // rsmF // pcnB // pheT // rsmC // cmoM // rsmB // glnS // trpS // mnmA // rluE // rlmA // cysS // dbpA // truA // epmA // proS
purine nucleotide catabolic process	0.005863758	mazG // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
gluconeogenesis I	0.005863758	tpiA // maeA // pck // gpmM // pgk // gapA // fbaB // fbaA // ybiV // yidA // yigL // pgi
guanyl ribonucleotide binding	0.0061169737	mnmE // yihA // hflX // feoB // yajQ // relA // dgcP // dgcN // dgcJ // upp // dgcE // folE // ychF // moaA // yjiA // bipA // ycjX // bdcA // bcsE // ppnN // hpt // ppx // gdhA // guaB // gnd // cmk // gpmA // folC // pgk // icd
organic cyclic compound binding	0.007430109	sbcC // gadB // insK // hfq // ribF // hrpA // ybeZ // yfbR // cydD // dgcE // avtA // seqA // intF // hslV // purL // cmk // mlc // hdhA // hmp // fdhD // katE // yddM // recQ // mnmE // hspQ // hflX // gor // rna // srkA // dnaC // yegH // ubiB // mug // rfbB // moaA // truC // ilvI // uvrA // polA // udp // nfsB // evgA // creC // ihfA // folE // prmC // gltA // sdhC // dgcN // macB // vsr // pdxH // aroE // leuS // lrp // folC // yeeN // yihA // lrhA // bluR // nfo // fadR // ycbZ // serC // aceK // efp // gltX // gnd // sdhA // yeeZ // yeaK // waaP // ybhF // nhaR // xseA // maeA // comR // yieP // kdgR // hdfR // gyrB // ileS // dacB // speA // sodA // cytR // ackA // phoP // alaS // hns // ldhA // barA // anmK // bipA // exuR // exoX // dgcJ // folK // fhlA // ghrB // lon // guaB // uvrD // miaA // kefG // dcuR // thyA // bdcR // hldE // gpmA // betA // htpG // ltaE // rapA // gpsA // yajQ // guaA // poxB // uvrY // ndh // mnmC // hemG // metK // yraN // dpiB // dam // yhgF // groS // rlmJ // hemW // accA // panE // clpX // nuoC // pykF // mutY // mfd // nadR // yjiA // rpsT // recA // srsR // rnm // yrdD // prmB // nagK // aaeR // dhaR // ycjX // yebK // pyrD // cydA // hsdR // panC // hyaC // icd // aroB // rsmD // arcB // glyA // prlF // yejK // rhlB // gyrA // yheS // clpB // uvrC // metG // tyrB // accC // tus // rssB // clpA // dcd // pykA // bolA // hscA // trmA // gcd // narX // sapD // ariR // proA // hda // pck // hslR // carB // gcvA // ydgJ // rcsD // glyS // yeeY // valS // yniA // pdxA // intD // acnA // hemF // potG // ygiC // sutR // ddlA // nadK // lysS // prkB // mrdA // groL // tyrS // ydjA // cas1 // gshB // bisC // dnaK // mrp // dcyD // yjtD // rfaH // gshA // yfdG // asd // ampH // dgcP // rlmD // rnb // nagC // upp // rsmF // recC // iclR // arcA // umpG // bcsE // ulaR // nadE // aspC // cbl // galR // pinR // fur // ybeF // pgk // ppnN // bdcA // ygaV // ghrA // pcnB // pheT // rsmC // serA // ychF // cbpA // rsmB // gdhA // yggS // nuoF // pabB // ubiD // dacD // glnS // pntB // murB // rcnR // hipH // csrA // ybdK // fepB // radD // ftsK // ybeX // patA // hinT // recN // tomB // sbmA // pdxB // gapA // tcyN // arnA // relA // alaA // prfA // hslU // trpS // evgS // feoB // ydiJ // lolD // glpK // sfsA // sgrR // mazG // gadW // accD // msrP // thrA // mnmA // dppA // rluE // cvrA // znuC // pinQ // cyaA // cysB // ppx // bfr // yjhU // hpt // dacC // dnaJ // pfkB // cysS // phoQ // ompR // mutS // zntR // zapE // malT // selO // dbpA // truA // rpoN // epmA // proS
guanyl nucleotide binding	0.007582886	mnmE // yihA // hflX // feoB // yajQ // relA // dgcP // dgcN // dgcJ // upp // dgcE // folE // ychF // moaA // yjiA // bipA // ycjX // bdcA // bcsE // ppnN // hpt // ppx // gdhA // guaB // gnd // cmk // gpmA // folC // pgk // icd
chaperone-mediated protein folding	0.008489861	dnaK // groL // groS // dnaJ // grpE // cbpA // hscA // cnoX // mnmE // bepA // ppiD // osmY // ivy // dppA // degP // surA // dsbG // dmsD
chaperone cofactor-dependent protein refolding	0.008489861	dnaK // groL // groS // dnaJ // grpE // cbpA // hscA
'de novo' post-translational protein folding	0.008489861	dnaK // groL // groS // dnaJ // grpE // cbpA // hscA
ATP-dependent peptidase activity	0.008489861	ycbZ // lon // clpA // clpX // clpP // hslV // hslU
pyrimidine nucleoside monophosphate metabolic process	0.009414783	pyrD // pyrC // carB // udp // upp // umpH // umpG // thyA // yfbR // dcd
pyridine nucleotide metabolic process	0.009414783	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM // nadK // nadE // nadR // talB // tktB // rpe // gnd // pntB
catalytic activity, acting on a tRNA	0.009414783	yfdG // gltX // cysS // glyS // metG // tyrS // leuS // ileS // alaS // glnS // valS // trpS // lysS // epmA // proS // pheT // rbn // yeaK // truC // truA // miaA // mnmC // trmA // cmoM // mnmA
purine nucleoside diphosphate metabolic process	0.009458801	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
pyridine-containing compound catabolic process	0.009458801	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
nucleoside phosphate catabolic process	0.009787309	mazG // umpH // umpG // udp // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
protein unfolding	0.01056874	dnaK // dnaJ // grpE // hslU // clpA // clpX
Carbohydrate Biosynthesis	0.01056874	wecA // pgi // glmU // wecB // rfbB // pgm // glgB // tpiA // maeA // pck // gpmM // pgk // gapA // fbaB // fbaA // ybiV // yidA // yigL // waaG // waaP // waaF // waaC // galU // otsB // otsA // kdsD // kdsB // gmhA // gmhB // hldE
cellular response to stress	0.01090793	ybeD // sbcC // dctA // insK // nagE // yggE // hslV // actS // hmp // katE // yggX // recQ // argT // gor // mug // idi // hchA // uvrA // polA // udp // dgcN // vsr // ybfE // argF // betT // nfo // waaH // fsr // uspE // bcp // xseA // deoD // exoX // lon // uvrD // miaA // htpG // yajQ // dam // osmF // mutY // mfd // yjiA // recA // srsR // sbmC // yebK // hyaC // pgi // clpB // uvrC // clpA // hscA // yggT // ybdG // narX // hslR // ydiZ // yjjU // bsmA // ycfL // ycdY // cas1 // blr // dnaK // dcyD // yeaD // asd // recC // nadE // nlpE // ftnA // glgB // ghrA // yhcF // yrfG // proX // rcsF // fepB // radD // recN // elaB // alaA // cnoX // hslU // arsC // feoB // glpK // mazG // gadW // yodD // yajL // cho // pfkB // alaE // phoQ // mutS // otsA // apaG // otsB
small molecule biosynthetic process	0.0120831635	proC // ribF // avtA // fabF // ribC // ubiB // tdh // dapD // hchA // waaA // ilvI // folE // glsA // pdxH // aroE // folC // argF // ubiC // serC // folD // queG // maeA // ackA // cysZ // folK // fabA // fbaA // gpmA // ltaE // pheA // pdxI // accA // panE // panC // aroB // glyA // dkgA // pabA // pgi // tyrB // accC // ubiG // proA // pck // carB // pdxA // menA // aroA // kdsD // ubiE // lipB // menI // asd // aspC // cbl // pgk // tpiA // serA // adhE // fabB // gdhA // pabB // ubiD // pdxB // alaA // accD // thrA // kdsB // lpxL // pta // cysB // gltB // ridA // hpt // sdaA // madA // acpP
regulation of protein stability	0.012612957	rssB // hslO // cnoX // surA // secB // exbD // rseB // slyD
proteolysis involved in protein catabolic process	0.012612957	clpP // degP // lon // clpA // hslV // bepA // clpX // hslU
cellular response to stimulus	0.013169655	ybeD // sbcC // dctA // insK // nagE // yggE // hslV // actS // hmp // katE // yggX // recQ // argT // gor // mug // idi // hchA // uvrA // polA // udp // dgcN // vsr // ybfE // argF // betT // nfo // waaH // fsr // uspE // bcp // xseA // deoD // sodA // exoX // lon // uvrD // miaA // htpG // yajQ // dam // osmF // mutY // mfd // nadR // yjiA // recA // srsR // sbmC // yebK // hyaC // pgi // clpB // dsbA // uvrC // metG // clpA // hscA // yggT // ybdG // narX // ariR // hslR // ydiZ // yjjU // bsmA // ycfL // ycdY // cas1 // blr // dnaK // dcyD // gshA // yeaD // asd // ycgZ // recC // nadE // nlpE // ftnA // glgB // ghrA // yhcF // yrfG // proX // rcsF // fepB // radD // ftsK // recN // elaB // alaA // cnoX // hslU // arsC // feoB // glpK // mazG // gadW // yodD // yajL // cho // pfkB // alaE // phoQ // mutS // otsA // apaG // otsB // epmA
monosaccharide biosynthetic process	0.015406092	dkgA // kdsD // kdsB // maeA // pck // fbaA // tpiA // pgk // gpmA // sdaA // pgi
RNA modification	0.018903023	truC // truA // rluE // rsmG // rsmB // rlmD // rlmA // rsmD // rsmC // rsmF // rlmJ // rlmM // rlmE // rlhA // mnmA // tusE // tusC // mnmE // cmoA // mnmC // cmoM // trhO // yfhL // yjtD // trmA // tsaB // miaA // queG // hrpA // pcnB
'de novo' protein folding	0.020392165	dnaK // groL // groS // dnaJ // grpE // cbpA // hscA
protein catabolic process	0.020392165	clpP // clpX // hslV // hslU // prc // ycbZ // lon
catalytic activity, acting on a protein	0.021811476	hslV // actS // dsbG // slyD // srkA // ubiB // hchA // creC // prmC // htpX // dsbD // degP // ycbZ // aceK // clpP // dacB // alaS // barA // lon // ldtA // prc // glnD // dpiB // surA // clpX // prlC // prmB // arcB // dsbA // clpA // narX // pepP // rcsD // pepQ // lipB // ppiD // tsaB // mrdA // wzzB // sppA // ampH // dcp // dacD // yaeF // hipH // hslU // evgS // bepA // yajL // iap // dacC // dnaJ // dsbB // pepD // phoQ // pepN // sohB // epmA
catalytic activity, acting on a nucleic acid	0.023801748	sbcC // hrpA // intF // recQ // rna // mug // truC // uvrA // polA // vsr // leuS // nfo // rpnC // gltX // rppH // yeaK // xseA // recE // gyrB // ileS // alaS // rlmM // uvrD // miaA // rapA // mnmC // dam // rlmJ // mutY // mfd // recA // rnm // yrdD // hsdR // rsmD // rhlB // gyrA // uvrC // metG // trmA // rlmE // ydiZ // glyS // valS // intD // lysS // rbn // tyrS // cas1 // rsmG // yjtD // yfdG // rlmD // rnb // rsmF // recC // pinR // pcnB // pheT // rsmC // cmoM // rsmB // glnS // radD // ftsK // trpS // mnmA // rluE // pinQ // cho // rlmA // cysS // mutS // dbpA // truA // epmA // proS
macromolecule methylation	0.024592552	rsmG // yjtD // mnmC // trmA // mnmE // cmoM // rsmB // rlmD // rlmA // rsmD // rsmC // rsmF // rlmJ // rlmM // rlmE // prmB // prmC
nucleobase-containing small molecule metabolic process	0.02671156	gpmM // ribF // yfbR // purL // cmk // rpe // rfbB // hchA // udp // folE // gnd // folD // pyrC // queG // deoD // talB // ackA // guaB // thyA // fbaA // hldE // gpmA // guaA // yceF // tktB // speG // accA // pykF // fbaB // nagB // nadR // pyrD // pgi // accC // dcd // pykA // glmU // carB // gmhB // galU // nadK // upp // umpG // amn // ydfG // nadE // pgk // tpiA // pntB // gapA // arnA // relA // mazG // accD // kdsB // umpH // cyaA // pta // hpt // pfkB // nudK // nrdG
amino acid transmembrane transport	0.027016997	ygaZ // dcuA // dctA // hisQ // lysP // hisJ // proX // argT // artQ // leuE // alaE // cycA // cydD // tcyN // tcyJ // tcyL // cyuP // metQ // tyrP // yhjV // yqeG // rhtC // yjeM // yaaJ // sstT
macromolecule modification	0.027799683	hrpA // slyD // mnmE // hflX // hchA // truC // creC // prmC // aceK // queG // tusE // rlmM // barA // miaA // trhO // htpG // mnmC // dpiB // dam // rlmJ // prmB // cmoA // hsdR // rsmD // arcB // ytfE // trmA // rlmE // narX // roxA // rcsD // tusC // lipB // tsaB // rsmG // yjtD // rlmD // rsmF // moeA // pcnB // rsmC // cmoM // rsmB // rlhA // evgS // yfhL // mnmA // rluE // yajL // iap // rlmA // phoQ // selO // truA // epmA
organophosphate biosynthetic process	0.028449157	ribF // yfbR // purL // cmk // fdhD // clsC // rfbB // idi // waaA // moaA // udp // pdxH // serC // folD // pyrC // pgpA // clsA // ackA // psd // guaB // thyA // hldE // gpsA // pgsA // guaA // pdxI // accA // nagB // nadR // pyrD // plsB // accC // dcd // gmhA // glmU // carB // plsY // pdxA // gmhB // nadK // upp // amn // nadE // moeA // tpiA // pdxB // arnA // relA // accD // kdsB // cyaA // lpxL // pta // hpt // nrdG // acpP
transferase activity, transferring one-carbon groups	0.029835891	prmC // rlmM // thyA // yafE // mnmC // dam // rlmJ // prmB // rsmD // ubiG // trmA // rlmE // ubiE // rsmG // yjtD // rlmD // rsmF // rsmC // cmoM // rsmB // rlmA // argF // accD // cmoA // accA // arnA // glyA
Fatty Acid Biosynthesis Initiation	0.029835891	acpP // fabB // fabF // madA // accA // accD
DNA repair complex	0.029835891	uvrA // uvrC // cho // mutS // sbcC // mfd
superpathway of fatty acid biosynthesis initiation	0.029835891	acpP // fabB // fabF // madA // accA // accD
glyoxylate cycle	0.029835891	aceA // icd // aceK // iclR // acnA // aceB
hydrolase activity, acting on ester bonds	0.03133124	sbcC // yfbR // pdeB // pdeG // ycdX // rna // hchA // uvrA // polA // vsr // ypfH // leuS // nfo // aceK // rpnC // ulaG // yeaK // xseA // recE // pgpA // ileS // pldB // alaS // barA // exoX // ybiV // glnD // rflP // rnm // hsdR // arcB // gloB // uvrC // rssA // pdeK // narX // ydiZ // valS // pepQ // abpA // hxpB // gmhB // rbn // menI // cas1 // rnb // recC // aphA // umpG // yidA // yrfG // ybgC // ycfP // relA // pldA // yigL // umpH // yheT // cho // phoQ // otsB // proS
zinc ion binding	0.03227876	nagA // alaS // pyrC // yacG // slyD // gloB // pdxA // cysS // htpX // folE // gltX // gmhB // rlmA // ycdX // pepD // pepN // ileS // hemB // aroB // zntR // yrdD // metG // hslO // accD // idi // radD // tdh // uvrA // fbaA // dnaK // rbn // frmA // glyA // ackA // gmhA // hchA // dnaJ // msrB // nagK // clpX // yahK // pta // glpK // recQ // bepA // fur // nfo
organophosphate catabolic process	0.03227876	gatZ // gpsA // pgpA // mazG // umpH // umpG // udp // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
magnesium ion binding	0.03285163	kdsB // metK // hpt // glmU // gshB // gcd // pfkB // galU // folK // nudK // nadR // pck // ilvI // poxB // groL // menA // valS // thyA // hemB // rppH // aphA // idi // nadE // speD // hxpB // pgm // ybiV // wecA // pykF // yidA // icd // gmhB // yrfG // ackA // hslV // pdxA // speG // otsB // yigL // lysS // upp // pabB // pykA // umpH // selO // pheT // srkA // hslU // speA // aceK
purine nucleotide metabolic process	0.03301854	cyaA // mazG // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM // talB // tktB // rpe // gnd // pntB // nadK // guaB // relA // hpt // purL // guaA // amn // nadE // nadR // folD
NAD binding	0.03301854	gltA // serA // ldhA // aroB // arnA // thrA // nuoF // pdxB // gapA // rfbB // hdhA // icd // nuoC // asd // maeA // pdxA // ghrA // gpsA // ghrB // nadK
macromolecule metabolic process	0.03301854	lolB // sbcC // insK // murI // hfq // nagE // hrpA // speD // eptC // cydD // intF // hslV // mlc // recQ // slyD // mnmE // hflX // rna // dnaC // mug // rfbB // msrB // hchA // waaA // truC // uvrA // polA // creC // ihfA // prmC // htpX // opgH // vsr // leuS // dmsD // lrhA // nfo // degP // wecB // ycbZ // aceK // efp // rpnC // gltX // rppH // queG // yeaK // waaP // tusE // xseA // diaA // recE // gcvR // gyrB // ileS // bcsG // clpP // dacB // alaS // psd // rlmM // barA // anmK // bipA // exoX // fhlA // lon // uvrD // miaA // dcuR // ldtA // hldE // trhO // htpG // prc // mnmC // dpiB // dam // yhgF // yegX // rlmJ // ampG // clpX // mutY // mfd // prlC // rpsT // recA // srsR // rnm // yrdD // prmB // nagK // cmoA // aaeR // dhaR // yebK // hsdR // rraB // rsmD // arcB // rhlB // gyrA // lpoA // uvrC // metG // tus // clpA // ytfE // bolA // gmhA // trmA // glmU // rlmE // narX // roxA // hda // pepP // lapB // gcvA // rcsD // glyS // tusC // yeeY // valS // pepQ // intD // kdsD // gmhB // lipB // galU // ddlA // lysS // rbn // tsaB // mrdA // wzzB // tyrS // ycdY // cas1 // dnaK // rsmG // yjtD // rfaH // yfdG // sppA // ampH // rlmD // rnb // opgG // rsmF // recC // bcsE // ulaR // sra // nagZ // pinR // galR // dcp // ybeF // glgB // moeA // pcnB // pheT // rsmC // waaG // yrfG // cmoM // rsmB // dacD // glnS // yaeF // murB // csrA // waaF // radD // recN // waaC // rlhA // arnA // prfA // hslU // trpS // evgS // bepA // opgD // gadW // yfhL // chbG // msrP // mnmA // kdsB // rluE // pinQ // lpxL // yajL // ftsX // cysB // iap // cho // dacC // dnaJ // yhcB // wecA // rlmA // pepD // cysS // phoQ // mutS // zntR // apaG // selO // pepN // bglX // sohB // truA // rpoN // epmA // proS
superpathway of glyoxylate bypass and TCA	0.034884688	sdhA // sdhB // sdhC // acnA // gltA // icd // fumE // fumA // maeA // aceA // aceB
superpathway of hexitol degradation (bacteria)	0.036718115	gpmA // ybiV // yidA // yigL // pfkB // fbaB // fbaA // tpiA // gapA // pgk // gpmM // pykF // pykA
carboxylic acid biosynthetic process	0.03782167	proC // avtA // fabF // tdh // dapD // hchA // waaA // ilvI // glsA // aroE // folC // argF // ubiC // serC // folD // ackA // cysZ // folK // fabA // ltaE // pheA // accA // panE // panC // aroB // glyA // dkgA // pabA // tyrB // accC // proA // carB // aroA // kdsD // lipB // asd // aspC // cbl // serA // fabB // gdhA // pabB // alaA // accD // thrA // kdsB // lpxL // pta // cysB // gltB // ridA // madA // acpP
organic acid biosynthetic process	0.03782167	proC // avtA // fabF // tdh // dapD // hchA // waaA // ilvI // glsA // aroE // folC // argF // ubiC // serC // folD // ackA // cysZ // folK // fabA // ltaE // pheA // accA // panE // panC // aroB // glyA // dkgA // pabA // tyrB // accC // proA // carB // aroA // kdsD // lipB // asd // aspC // cbl // serA // fabB // gdhA // pabB // alaA // accD // thrA // kdsB // lpxL // pta // cysB // gltB // ridA // madA // acpP
marA	0.041078955	acrA // poxB // pqiB // nfo // sodA // nfsB // inaA // tolC // ygiC // ybjN // acnA // acrZ // dapD // glnD // mlaD // xseA // ycgZ // ymgA // ariR // ymgC
cellular response to heat	0.042083167	hslR // miaA // yggE // ybeD // lon // clpA // clpB // hslV // hslU
ADP binding	0.042761657	dbpA // hscA // dnaK // hda // pgk // mutS
modified amino acid biosynthetic process	0.042931553	folC // folK // pabA // pabB // folE // gshB // gshA // betA // betT // panE // panC // ybdK
fatty acid biosynthesis initiation III	0.043601085	acpP // madA // fabB // fabF
maintenance of unfolded protein	0.043601085	hslO // cnoX // surA // secB
iclR	0.043601085	aceK // aceA // aceB // iclR
bluR	0.043601085	ycgZ // ymgA // ariR // ymgC
transferase activity	0.048700284	pflB // ribF // nagE // eptC // dgcE // avtA // cmk // fdhD // fabF // ribC // clsC // srkA // ubiB // dapD // waaA // ilvI // elaA // polA // udp // creC // prmC // gltA // dgcN // opgH // argF // yfdH // yqjG // waaH // serC // aceK // grcA // waaP // tusE // gstB // clsA // deoD // pldB // talB // ackA // rlmM // barA // anmK // dgcJ // folK // miaA // thyA // ldtA // hldE // pgsA // glnD // yafE // mnmC // tktB // metK // dpiB // speG // dam // rlmJ // accA // pykF // nadR // prmB // nagK // cmoA // rsmD // arcB // glyA // pabA // plsB // tyrB // ubiG // pykA // trmA // glmU // rlmE // narX // rcsD // plsY // yniA // manZ // menA // aroA // ubiE // galU // lipB // nadK // prkB // wzzB // caiB // lsrK // ygaP // rsmG // yjtD // dgcP // rlmD // upp // rsmF // aspC // pgk // glgB // moeA // pcnB // rsmC // yadI // waaG // ybhK // cmoM // fabB // rsmB // hemC // pabB // hipH // waaF // manY // patA // waaC // arnA // alaA // relA // evgS // aceB // glpK // accD // thrA // mnmA // kdsB // lpxL // pta // hpt // wecA // pfkB // rlmA // phoQ // madA // otsA // maa // selO // rpoN // epmA
ribonucleoside diphosphate metabolic process	0.04961889	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
RNA methyltransferase activity	0.054392636	mnmC // trmA // cmoM // rlmM // rsmB // rsmF // rlmJ // rlmE // rlmD // rsmD // rsmC // rsmG // rlmA // yjtD
guanosine tetraphosphate binding	0.054392636	ppnN // hpt // hflX // ppx // gdhA // upp // bipA // guaB // gnd // cmk // gpmA // folC // pgk // icd
dicarboxylic acid biosynthetic process	0.057877894	lpxL // waaA // folC // tyrB // aroA // aroB // aroE // folK // pabA // pabB // dapD // asd // gltB // gdhA // glsA
RNA methylation	0.057877894	rsmG // yjtD // mnmC // trmA // mnmE // cmoM // rsmB // rlmD // rlmA // rsmD // rsmC // rsmF // rlmJ // rlmM // rlmE
pyrimidine nucleotide metabolic process	0.057877894	umpH // umpG // udp // mazG // thyA // dcd // yfbR // upp // pyrD // pyrC // carB // cmk
purine ribonucleoside triphosphate metabolic process	0.057877894	guaB // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
oligosaccharide biosynthetic process	0.057877894	otsA // otsB // gmhA // gmhB // eptC // hldE // galU // waaA // waaC // waaF // waaP // waaG
methylation	0.057877894	rsmG // yjtD // mnmC // trmA // mnmE // cmoM // rsmB // rlmD // rlmA // rsmD // rsmC // rsmF // rlmJ // rlmM // rlmE // prmB // prmC // thyA // ubiG // dam // ubiE
methyltransferase activity	0.057877894	prmC // rlmM // thyA // yafE // mnmC // dam // rlmJ // prmB // rsmD // ubiG // trmA // rlmE // ubiE // rsmG // yjtD // rlmD // rsmF // rsmC // cmoM // rsmB // rlmA
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	0.059271283	hdhA // panE // aroE // maeA // ydgJ // frmA // ghrB // ghrA // icd // pdxA // guaB // ldhA // ydiJ // ucpA // hcxB // dkgA // yahK // pdxI // adhE // ydfG // arnA // gpsA // murB // thrA // gnd // tdh // pdxB // serA
aminoacyl-tRNA metabolism involved in translational fidelity	0.060263366	ileS // yeaK // proS // leuS // alaS // valS
aminoacyl-tRNA editing activity	0.060263366	proS // yeaK // alaS // valS // ileS // leuS
nucleoside phosphate biosynthetic process	0.060573395	pta // ackA // accD // accA // accC // dcd // thyA // guaB // rfbB // arnA // nagB // glmU // kdsB // hldE // gmhB // cmk // nadK // nadE // amn // hpt // nadR // cyaA // purL // guaA // relA // folD // ribF // udp // upp // pyrD // pyrC // carB // yfbR // nrdG
purine nucleoside triphosphate metabolic process	0.062813126	guaB // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM // mazG
lipid binding	0.062813126	lptA // ompF // nhaA // ubiG // mlaD // pspA // zapE // fadR // hmp // poxB // rseB // acpP // tatA
ribonucleoside triphosphate metabolic process	0.062813126	mazG // guaB // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
response to oxidative stress	0.06298256	yodD // uspE // yggE // yajL // pgi // yggX // cnoX // gor // bcp // osmC // hemF // msrP // uspD // ariR // barA // yajQ // yqhA // sodA // ychF // icd // clpA // gpmM // hslO // adhE // degP // ytfE // katE // msrB // ftnA // acnA
amino acid metabolic process	0.06298256	proC // gadB // avtA // purL // tdh // dapD // ilvI // glsA // aroE // leuS // lrp // argF // serC // gltX // folD // ileS // cyuP // speA // alaS // cysZ // ltaE // pheA // aroB // glyA // pabA // metG // tyrB // proA // carB // glyS // valS // aroA // hemF // aspA // lysS // tyrS // cyuA // dcyD // asd // nadE // aspC // cbl // pheT // serA // ldcC // gdhA // pabB // glnS // patA // hinT // alaA // trpS // thrA // pta // cysB // gltB // ridA // cysS // sdaA // rpoN // epmA // proS
transition metal ion binding	0.06298256	gpmM // yfbR // yecA // katE // yggX // recQ // slyD // ycdX // rpe // tdh // idi // msrB // hchA // uvrA // folE // htpX // frmA // nfo // aceK // gltX // pyrC // ulaG // yahK // ileS // sodA // ackA // alaS // fbaA // clpX // yjiA // rnm // yrdD // nagK // ygiQ // hyaC // yacG // aroB // hemB // glyA // gloB // metG // ytfE // hslO // gmhA // roxA // pepP // lapB // cutC // pdxA // pepQ // acnA // hemF // gmhB // rbn // bisC // dnaK // nuoB // rlmD // umpG // fur // ftnA // nagA // adhE // yrfG // ubiD // radD // bepA // glpK // accD // pta // bfr // dnaJ // wecA // yobA // rlmA // pepD // cysS // zntR // pepN
superpathway of phospholipid biosynthesis III (<i>E. coli</i>)	0.06298256	acpP // clsC // pgpA // pgsA // plsB // gpsA // psd // clsA
pyrimidine nucleoside monophosphate biosynthetic process	0.06298256	pyrD // pyrC // carB // udp // upp // thyA // yfbR // dcd
Phospholipid Biosynthesis	0.06298256	psd // acpP // plsB // gpsA // clsC // pgpA // pgsA // clsA
hexose biosynthetic process	0.06298256	maeA // pck // fbaA // tpiA // pgk // gpmA // sdaA // pgi
gluconeogenesis	0.06298256	maeA // pck // fbaA // tpiA // pgk // gpmA // sdaA // pgi
pyrimidine ribonucleoside monophosphate metabolic process	0.06298256	pyrD // pyrC // carB // udp // upp // umpH // umpG
UMP metabolic process	0.06298256	umpH // umpG // udp // pyrD // pyrC // carB // upp
superpathway of fatty acid biosynthesis I (E. coli)	0.06298256	acpP // fabF // fabB // fabA // madA // accA // accD
regulation of translational fidelity	0.06298256	valS // yeaK // ileS // proS // leuS // alaS // mnmE
RNA processing	0.064249136	rbn // pcnB // mnmA // tusE // tusC // mnmE // cmoA // mnmC // cmoM // trhO // yfhL // truC // truA // yjtD // trmA // tsaB // miaA // queG // rppH // hfq // rnm // rsmG // rsmB // rlmD // rlmA // rsmD // rsmC // rsmF // rlmJ // rlmM // rlmE // rluE // rlhA // rhlB
ligase activity	0.064540535	accC // ddlA // gshA // ybdK // gshB // panC // folC // carB // guaA // purL // nadE // epmA // accA // accD // alaS // gltX // cysS // glyS // metG // tyrS // leuS // ileS // glnS // valS // trpS // lysS // proS // pheT // pinR // ygiC // pinQ
monocarboxylic acid biosynthetic process	0.06891843	hchA // pta // ackA // pabB // pabA // fabF // fabB // lipB // fabA // accD // accA // accC // madA // acpP // ubiC // panE // panC
superpathway of L-threonine metabolism	0.07466962	ridA // ilvG // ilvI // ackA // pta // grcA // pflB // tdh // adhE // ltaE
protein homooligomerization	0.07809524	nagA // nadR // ppnN // hpt // guaB // gmhA // ydfG // pepP // kdsD // thrA // speA // aspA // gshB // aceA // ldhA // rraA // ridA // dcd // hspQ // ompF // adhE
rRNA modification	0.07879709	rsmG // rsmB // rlmD // rlmA // rsmD // rsmC // rsmF // rlmJ // rlmM // rlmE // rluE // truC // rlhA
